"Unit_No","Obs_No","SAMPLE_NO","collected_date","Chem_Code","Chem_Name","Chem_Value","Chem_Unit_Code"
"6141-47","WRA020",85661,"17/11/1986","RESIST","Resistivity",2.4,"ohm/m"
"6141-47","WRA020",85661,"31733","SAR","Sodium Adsorption Ratio",86.9,"RATIO"
"6141-47","WRA020",85661,"11/17/1986","SO4","Sulphate",380,"mg/L"
"6141-47","WRA020",85661,"17/11/1986","TDS_CALC","Total Dissolved Solids - Calculated",2400,"mg/L"
"6141-47","WRA020",85661,"17/11/1986","TDS_EC","Total Dissolved Solids - Based on EC",2400,"mg/L"
"6142-4","ODN007",1705804,"23/07/1983","ALK","Alkanity as CaCO3",234,"mg/L"
"6142-4","ODN007",1705804,"23/07/1983","Ca","Calcium",48,"mg/L"
"6142-4","ODN007",1705804,"23/07/1983","CARB","Carbonate Hardness as CaCO3",138,"mg/L"
"6142-4","ODN007",1705804,"23/07/1983","Cl","Chloride",870,"mg/L"
"6142-4","ODN007",1705804,"23/07/1983","CO3","Carbonate",0,"mg/L"
"6142-4","ODN007",1705804,"23 Jul 1983","EC","Electroconductivity",3741,"us/cm"
"6142-4","ODN007",1705804,"23/07/1983","HARD","Total Hardness as CaCO3",138,"mg/L"
"6142-4","ODN007",1705804,"23/07/1983","HCO3","Bicarbonate",285,"mg/L"
"6142-4","ODN007",1705804,"23/07/1983","K","Potassium",12,"mg/L"
"6142-4","ODN007",1705804,"23/07/1983","Mg","Magnesium",4.3,"mg/L"
"6142-4","ODN007",1705804,"23/07/1983","Na","Sodium",770,"mg/L"
"6142-4","ODN007",1705804,"23/07/1983","NO3","Nitrate",1,"mg/L"
"6142-4","ODN007",1705804,"23/07/1983","NONCARB","Non-Carbonate Hardness as CaCO3",1,"mg/L"
"6142-4","ODN007",1705804,"23/07/1983","OH","Hydroxide",0,"mg/L"
"6142-4","ODN007",1705804,"23/07/1983","pH","Acidity/Alkalinity",7.9,"pH"
"6142-4","ODN007",1705804,"23/07/1983","SO4","Sulphate",340,"mg/L"
"6142-4","ODN007",1705804,"23/07/1983","TDS_CALC","Total Dissolved Solids - Calculated",2185,"mg/L"
"6142-4","ODN007",85671,"18/11/1986","ALK","Alkanity as CaCO3",222,"mg/L"
"6142-4","ODN007",85671,"18/11/1986","Ca","Calcium",54,"mg/L"
"6142-4","ODN007",85671,"18.11.1986","CARB","Carbonate Hardness as CaCO3",152,"mg/L"
"6142-4","ODN007",85671,"18/11/1986","Cl","Chloride",104,"mg/L"
"6142-4","ODN007",85671,"18/11/1986","DST","Sodium/Total Cations Ratio",3,"%"
"6142-4","ODN007",85671,"18/11/1986","EC","Electroconductivity",4250,"us/cm"
"6142-4","ODN007",85671,"18/11/1986","HARD","Total Hardness as CaCO3",152,"mg/L"
"6142-4","ODN007",85671,"18/11/1986","HCO3","Bicarbonate",271,"mg/L"
"6142-4","ODN007",85671,"18/11/1986","K","Potassium",6,"mg/L"
"6142-4","ODN007",85671,"18/11/1986","Mg","Magnesium",4.2,"mg/L"
"6142-4","ODN007",85671,"18/11/1986","Na","Sodium",860,"mg/L"
"6142-4","ODN007",85671,"18/11/1986","NO3(N)","Nitrate as N",0.1,"mg/L"
"6142-4","ODN007",85671,"18/11/1986","pH","Acidity/Alkalinity",7.6,"pH"
"6142-4","ODN007",85671,"18/11/1986","RESIST","Resistivity",2.3,"ohm/m"
"6142-4","ODN007",85671,"18/11/1986","SAR","Sodium Adsorption Ratio",92.1,"RATIO"
"6142-4","ODN007",85671,"18/11/1986","SO4","Sulphate",375,"mg/L"
"6142-4","ODN007",85671,"18/11/1986","TDS_CALC","Total Dissolved Solids - Calculated",2480,"mg/L"
"6142-4","ODN007",85671,"11/18/1986","TDS_EC","Total Dissolved Solids - Based on EC",2460,"mg/L"
"6142-4","ODN007",1705805,"03/09/1995","ALK","Alkanity as CaCO3",221,"mg/L"
"6142-4","ODN007",1705805,"03/09/1995","Br","Bromide",1.8,"mg/L"
"6142-4","ODN007",1705805,"03/09/1995","Ca","Calcium",43.8,"mg/L"
"6142-4","ODN007",1705805,"03/09/1995","CARB","Carbonate Hardness as CaCO3",128,"mg/L"
"6142-4","ODN007",1705805,"03/09/1995","Cl","Chloride",848,"mg/L"
"6142-4","ODN007",1705805,"03-09-1995","CO2","Carbon Dioxide: Free Carbon Dioxide (water analysis)",7,"mg/L"
"6142-4","ODN007",1705805,"03/09/1995","EC","Electroconductivity",3710,"us/cm"
"6142-4","ODN007",1705805,"03/09/1995","F","Fluoride",0.69,"mg/L"
"6142-4","ODN007",1705805,"03/09/1995","HARD","Total Hardness as CaCO3",128,"mg/L"
"6142-4","ODN007",1705805,"03/09/1995","HCO3","Bicarbonate",270,"mg/L"
"6142-4","ODN007",1705805,"03/09/1995","K","Potassium",12.6,"mg/L"
"6142-4","ODN007",1705805,"03/09/1995","Mg","Magnesium",4.5,"mg/L"
"6142-4","ODN007",1705805,"03/09/1995","Na","Sodium",707,"mg/L"
"6142-4","ODN007",1705805,"03/09/1995","NO3","Nitrate",0.02,"mg/L"
"6142-4","ODN007",1705805,"03/09/1995","NONCARB","Non-Carbonate Hardness as CaCO3",0,"mg/L"
"6142-4","ODN007",1705805,"03/09/1995","pH","Acidity/Alkalinity",7.8,"pH"
"6142-4","ODN007",1705805,"03/09/1995","SAR","Sodium Adsorption Ratio",143.9,"RATIO"
"6142-4","ODN007",1705805,"03/09/1995","SiO2","Silicon Dioxide; Silica (reactive) (water analysis)",19,"mg/L"
"6142-4","ODN007",1705805,"03/09/1995","SO4","Sulphate",321,"mg/L"
"6142-4","ODN007",1705805,"03/09/1995","TDS_CALC","Total Dissolved Solids - Calculated",2090,"mg/L"
"6142-4","ODN007",1705805,"03/09/1995","TDS_EC","Total Dissolved Solids - Based on EC",2100,"mg/L"
"6142-4","ODN007",1705806,"20/01/1998","Br","Bromide",2.8,"mg/L"
"6142-4","ODN007",1705806,"20/01/1998","Ca","Calcium",58,"mg/L"
"6142-4","ODN007",1705806,"20/01/1998","Cl","Chloride",1000,"mg/L"
"6142-4","ODN007",1705806,"20/01/1998","Fe","Iron: Iron Total (water analysis)",0.1,"mg/L"
"6142-4","ODN007",1705806,"20/01/1998","HCO3","Bicarbonate",274.5,"mg/L"
"6142-4","ODN007",1705806,"20/01/1998","K","Potassium",11,"mg/L"
"6142-4","ODN007",1705806,"1998-01-20","Mg","Magnesium",5,"mg/L"
"6142-4","ODN007",1705806,"20/01/1998","Na","Sodium",830,"mg/L"
"6142-4","ODN007",1705806,"20/01/1998","SiO2","Silicon Dioxide; Silica (reactive) (water analysis)",9.3,"mg/L"
"6142-4","ODN007",1705806,"20/01/1998","SO4","Sulphate",110,"mg/L"
"6142-4","ODN007",1705806,"20/01/1998","TDS_CALC","Total Dissolved Solids - Calculated",2300.6,"mg/L"
"6145-1","DLH007",1705810,"12/02/1964","Cl","Chloride",1230,"mg/L"
"6145-1","DLH007",1705810,"12/02/64","CO3","Carbonate",117,"mg/L"
"6145-1","DLH007",1705810,"12/02/1964","HARD","Total Hardness as CaCO3",560,"mg/L"
"6145-1","DLH007",1705810,"12/02/1964","Mg","Magnesium",59,"mg/L"
"6145-1","DLH007",1705810,"12/02/1964","Na","Sodium",810,"mg/L"
"6145-1","DLH007",1705810,"12/02/1964","SO4","Sulphate",375,"mg/L"
"6145-1","DLH007",1705810,"12/02/1964","TDS_CALC","Total Dissolved Solids - Calculated",2718,"mg/L"
"6145-1","DLH007",1042571,"29/04/2006","ALK","Alkanity as CaCO3",192.8,"mg/L"
"6145-1","DLH007",1042571,"29/04/2006","Br","Bromide",1.9,"mg/L"
"6145-1","DLH007",1042571,"29/04/2006","Ca","Calcium",134,"mg/L"
"6145-1","DLH007",1042571,"29/04/2006","Cl","Chloride",1275,"mg/L"
"6145-1","DLH007",1042571,"29/04/2006","F","Fluoride",0.28,"mg/L"
"6145-1","DLH007",1042571,"29.04.2006","K","Potassium",43,"mg/L"
"6145-1","DLH007",1042571,"29/04/2006","Mg","Magnesium",54,"mg/L"
"6145-1","DLH007",1042571,"29/04/2006","Na","Sodium",778,"mg/L"
"6145-1","DLH007",1042571,"38836","NH4(N)","Ammonium as N",0.69,"mg/L"
"6145-1","DLH007",1042571,"29/04/2006","NO3(N)","Nitrate as N",0.05,"mg/L"
"6145-1","DLH007",1042571,"29/04/2006","NOX(N)","Nitrite and nitrate as N",0.01,"mg/L"
"6145-1","DLH007",1042571,"29/04/2006","pH","Acidity/Alkalinity",7.4,"pH"
"6145-1","DLH007",1042571,"29/04/2006","S","Sulphur",134,"mg/L"
"6145-1","DLH007",1042571,"29/04/2006","SO4","Sulphate",373,"mg/L"
"6145-1","DLH007",1042589,"29/04/2006","ALK","Alkanity as CaCO3",161.2,"mg/L"
"6239-41","CDM018",1663151,"30/09/2008","ALK","Alkanity as CaCO3",531,"mg/L"
"6239-41","CDM018",1663151,"30/09/2008","DO","Dissolved Oxygen",0.61,"mg/L"
"6239-41","CDM018",1663151,"30/09/2008","EC","Electroconductivity",10613,"us/cm"
"6239-41","CDM018",1663151,"30/09/2008","Eh","Redox Potential",-216.6,"mV"
"6239-41","CDM018",1663151,"30/09/2008","Field pH","Field pH",6.82,"pH"
"6240-4","LKE002",1705862,"24/05/1991","ALK","Alkanity as CaCO3",234,"mg/L"
"6240-4","LKE002",1705862,"24/05/1991","Ca","Calcium",230,"mg/L"
"6240-4","LKE002",1705862,"24/05/1991","CARB","Carbonate Hardness as CaCO3",234,"mg/L"
"6240-4","LKE002",1705862,"24/05/1991","Cl","Chloride",2538,"mg/L"
"6240-4","LKE002",1705862,"24/05/1991","EC","Electroconductivity",8480,"us/cm"
"6240-4","LKE002",1705862,"24/05/1991","HARD","Total Hardness as CaCO3",759,"mg/L"
"6240-4","LKE002",1705862,"24/05/1991","HCO3","Bicarbonate",286.3,"mg/L"
"6240-4","LKE002",1705862,"24/05/1991","K","Potassium",70.6,"mg/L"
"6240-4","LKE002",1705862,"24/05/1991","Mg","Magnesium",45,"mg/L"
"6240-4","LKE002",1705862,"24/05/1991","Na","Sodium",1675,"mg/L"
"6240-4","LKE002",1705862,"24/05/1991","NO3","Nitrate",0.5,"mg/L"
"6240-4","LKE002",1705862,"24/05/1991","NONCARB","Non-Carbonate Hardness as CaCO3",525,"mg/L"
"6240-4","LKE002",1705862,"33382","pH","Acidity/Alkalinity",7.1,"pH"
"6240-4","LKE002",1705862,"24-05-1991","RESIST","Resistivity",1.179,"ohm/m"
"6240-4","LKE002",1705862,"24/05/1991","SAR","Sodium Adsorption Ratio",81.1,"RATIO"
"6240-4","LKE002",1705862,"24/05/1991","SO4","Sulphate",655,"mg/L"
"6240-4","LKE002",1705862,"24/05/1991","TDS_CALC","Total Dissolved Solids - Calculated",5357,"mg/L"
"6240-4","LKE002",1705862,"24/05/1991","TDS_EC","Total Dissolved Solids - Based on EC",5097,"mg/L"
"6738-2","MRE004",1706191,"26/10/1914","Ca","Calcium",9.1392,"mg/L"
"6738-2","MRE004",1706191,"26/10/1914","CARB","Carbonate Hardness as CaCO3",32.4156,"mg/L"
"6738-2","MRE004",1706191,"26/10/1914","Cl","Chloride",202.4904,"mg/L"
"6738-2","MRE004",1706191,"26/10/1914","CO3","Carbonate",462.672,"mg/L"
"6738-2","MRE004",1706191,"26/10/1914","HARD","Total Hardness as CaCO3",32.4156,"mg/L"
"6738-2","MRE004",1706191,"26/10/1914","Mg","Magnesium",2.2848,"mg/L"
"6738-2","MRE004",1706191,"26/10/1914","Na","Sodium",464.9568,"mg/L"
"6738-2","MRE004",1706191,"26/10/1914","NO3","Nitrate",0,"mg/L"
"6738-2","MRE004",1706191,"26/10/1914","NONCARB","Non-Carbonate Hardness as CaCO3",0,"mg/L"
"6738-2","MRE004",1706191,"10/26/1914","SiO2","Silicon Dioxide; Silica (reactive) (water analysis)",17.85,"mg/L"
"6738-2","MRE004",1706191,"26/10/1914","SO4","Sulphate",20.5632,"mg/L"
"6738-2","MRE004",1706191,"26/10/1914","TDS_CALC","Total Dissolved Solids - Calculated",1212.5148,"mg/L"
"6738-2","MRE004",1706192,"17/11/1922","Ca","Calcium",14.28,"mg/L"
"6738-2","MRE004",1706192,"8357","CARB","Carbonate Hardness as CaCO3",57.6912,"mg/L"
"6738-2","MRE004",1706192,"17/11/1922","Cl","Chloride",222.4824,"mg/L"
"6738-2","MRE004",1706192,"17/11/1922","CO3","Carbonate",443.394,"mg/L"
"6738-2","MRE004",1706192,"17/11/1922","Fe","Iron: Iron Total (water analysis)",0,"mg/L"
"6738-2","MRE004",1706192,"17/11/1922","HARD","Total Hardness as CaCO3",57.6912,"mg/L"
"6738-2","MRE004",1706192,"17/11/1922","Mg","Magnesium",5.2836,"mg/L"
"6738-2","MRE004",1706192,"17/11/1922","Na","Sodium",475.524,"mg/L"
"6738-2","MRE004",1706192,"17/11/1922","NO3","Nitrate",0,"mg/L"
"6738-2","MRE004",1706192,"17/11/1922","NONCARB","Non-Carbonate Hardness as CaCO3",0,"mg/L"
"6738-2","MRE004",1706192,"17/11/1922","SiO2","Silicon Dioxide; Silica (reactive) (water analysis)",35.7,"mg/L"
"6738-2","MRE004",1706192,"17/11/1922","SO4","Sulphate",37.6992,"mg/L"
"6738-2","MRE004",1706192,"8357","TDS_CALC","Total Dissolved Solids - Calculated",1234.3632,"mg/L"
"6738-2","MRE004",1706193,"01.08.1948","Ca","Calcium",0,"mg/L"
"6738-2","MRE004",1706193,"01/08/1948","CARB","Carbonate Hardness as CaCO3",4.7124,"mg/L"
"6738-2","MRE004",1706193,"01/08/1948","Cl","Chloride",203.9184,"mg/L"
"6738-2","MRE004",1706193,"01/08/1948","CO3","Carbonate",464.814,"mg/L"
"6738-2","MRE004",1706193,"17746","F","Fluoride",3.6,"mg/L"
"6738-2","MRE004",1706193,"01/08/1948","HARD","Total Hardness as CaCO3",4.7124,"mg/L"
"6738-2","MRE004",1706193,"01/08/1948","Mg","Magnesium",1.1424,"mg/L"
"6738-2","MRE004",1706193,"01/08/1948","Na","Sodium",496.0872,"mg/L"
"6738-2","MRE004",1706193,"01/08/1948","NO3","Nitrate",0,"mg/L"
"6738-2","MRE004",1706193,"01/08/1948","NONCARB","Non-Carbonate Hardness as CaCO3",0,"mg/L"
"6738-2","MRE004",1706193,"01/08/1948","pH","Acidity/Alkalinity",7.6,"pH"
"6738-2","MRE004",1706193,"01/08/1948","SO4","Sulphate",20.1348,"mg/L"
"6738-2","MRE004",1706193,"01/08/1948","TDS_CALC","Total Dissolved Solids - Calculated",1186.0968,"mg/L"
"6738-2","MRE004",1706194,"31/08/1961","Ca","Calcium",7.14,"mg/L"
"6738-2","MRE004",1706194,"31/08/1961","CARB","Carbonate Hardness as CaCO3",28.56,"mg/L"
"6738-2","MRE004",1706194,"31/08/1961","Cl","Chloride",225.624,"mg/L"
"6738-2","MRE004",1706194,"31/08/1961","CO3","Carbonate",462.672,"mg/L"
"6738-2","MRE004",1706194,"31/08/1961","HARD","Total Hardness as CaCO3",28.56,"mg/L"
"6738-2","MRE004",1706194,"31-08-1961","Mg","Magnesium",2.856,"mg/L"
"6738-2","MRE004",1706194,"31/08/1961","Na","Sodium",509.796,"mg/L"
"6738-2","MRE004",1706194,"31/08/1961","NONCARB","Non-Carbonate Hardness as CaCO3",0,"mg/L"
"6738-2","MRE004",1706194,"31/08/1961","SO4","Sulphate",48.552,"mg/L"
"6738-2","MRE004",1706194,"31/08/1961","TDS_CALC","Total Dissolved Solids - Calculated",1256.64,"mg/L"
"6738-2","MRE004",1706195,"31/07/1975","ALK","Alkanity as CaCO3",742,"mg/L"
"6738-2","MRE004",1706195,"31/07/1975","B","Boron",1.3,"mg/L"
"6738-2","MRE004",1706195,"31/07/1975","Ca","Calcium",6,"mg/L"
"6738-2","MRE004",1706195,"31.07.1975","CARB","Carbonate Hardness as CaCO3",19,"mg/L"
"6738-2","MRE004",1706195,"31/07/1975","Cl","Chloride",189,"mg/L"
"6738-2","MRE004",1706195,"31/07/1975","CO3","Carbonate",614.04,"mg/L"
"6738-2","MRE004",1706195,"31/07/1975","DST","Sodium/Total Cations Ratio",97.7,"%"
"6738-2","MRE004",1706195,"31/07/1975","EC","Electroconductivity",1969,"us/cm"
"6738-2","MRE004",1706195,"31/07/1975","F","Fluoride",4.15,"mg/L"
"6738-2","MRE004",1706195,"31/07/1975","Fe","Iron: Iron Total (water analysis)",0.03,"mg/L"
"6738-2","MRE004",1706195,"31/07/1975","HARD","Total Hardness as CaCO3",19,"mg/L"
"6738-2","MRE004",1706195,"31/07/1975","HCO3","Bicarbonate",818,"mg/L"
"6738-2","MRE004",1706195,"31/07/1975","K","Potassium",4,"mg/L"
"6738-2","MRE004",1706195,"31/07/1975","Mg","Magnesium",1,"mg/L"
"6738-2","MRE004",1706195,"31/07/1975","Na","Sodium",473,"mg/L"
"6738-2","MRE004",1706195,"31/07/1975","NO3","Nitrate",0,"mg/L"
"6738-2","MRE004",1706195,"31/07/1975","NONCARB","Non-Carbonate Hardness as CaCO3",0,"mg/L"
"6738-2","MRE004",1706195,"31/07/1975","pH","Acidity/Alkalinity",8.7,"pH"
"6738-2","MRE004",1706195,"31/07/1975","SiO2","Silicon Dioxide; Silica (reactive) (water analysis)",10,"mg/L"
"6738-2","MRE004",1706195,"31/07/1975","SO4","Sulphate",27,"mg/L"
"6738-2","MRE004",1706195,"1975-07-31","TDS_CALC","Total Dissolved Solids - Calculated",1149,"mg/L"
"6738-2","MRE004",1706195,"31/07/1975","TDS_RESID","Residual Total Dissolved solids",1218,"mg/L"
"6738-2","MRE004",91118,"03/10/1979","ALK","Alkanity as CaCO3",758,"mg/L"
"6738-2","MRE004",91118,"03/10/1979","Ca","Calcium",5.7,"mg/L"
"6738-2","MRE004",91118,"1979-10-03","CARB","Carbonate Hardness as CaCO3",15,"mg/L"
"6738-2","MRE004",91118,"03/10/1979","Cl","Chloride",200,"mg/L"
"6738-2","MRE004",91118,"03/10/1979","EC","Electroconductivity",2124,"us/cm"
"6738-2","MRE004",91118,"03/10/79","HARD","Total Hardness as CaCO3",15,"mg/L"
"6738-2","MRE004",91118,"03/10/1979","HCO3","Bicarbonate",924,"mg/L"
"6738-2","MRE004",91118,"03/10/1979","K","Potassium",5.1,"mg/L"
"6738-2","MRE004",91118,"29131","Mg","Magnesium",0.2,"mg/L"
"6738-2","MRE004",91118,"29131","Na","Sodium",470,"mg/L"
"6738-2","MRE004",91118,"03/10/1979","NO3(N)","Nitrate as N",1,"mg/L"
"6738-2","MRE004",91118,"03/10/1979","NONCARB","Non-Carbonate Hardness as CaCO3",1,"mg/L"
"6738-2","MRE004",91118,"03/10/1979","pH","Acidity/Alkalinity",7.8,"pH"
"6738-2","MRE004",91118,"03/10/1979","SO4","Sulphate",20,"mg/L"
"6738-2","MRE004",91118,"03/10/1979","TDS_CALC","Total Dissolved Solids - Calculated",1156,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","ALK","Alkanity as CaCO3",757,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","As","Arsenic",0.002,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","B","Boron",1.31,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","Ca","Calcium",2,"mg/L"
"6738-2","MRE004",1706196,"29413","CARB","Carbonate Hardness as CaCO3",9,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","Cd","Cadmium",5e-05,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","Cl","Chloride",201,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","CO3","Carbonate",21,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","Cu","Copper",0.001,"mg/L"
"6738-2","MRE004",1706196,"29413","DST","Sodium/Total Cations Ratio",98.6,"%"
"6738-2","MRE004",1706196,"11/07/1980","EC","Electroconductivity",2052,"us/cm"
"6738-2","MRE004",1706196,"11/07/1980","Fe","Iron: Iron Total (water analysis)",0.06,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","HARD","Total Hardness as CaCO3",9,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","HCO3","Bicarbonate",880,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","Hg","Mercury",1e-04,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","K","Potassium",4,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","Mg","Magnesium",1,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","Mn","Manganese",0.0015,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","Na","Sodium",465,"mg/L"
"6738-2","MRE004",1706196,"11/07/80","NO3","Nitrate",0,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","NONCARB","Non-Carbonate Hardness as CaCO3",1,"mg/L"
"6738-2","MRE004",1706196,"11-07-1980","Pb","Lead",0.0035,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","pH","Acidity/Alkalinity",8.5,"pH"
"6738-2","MRE004",1706196,"11/07/1980","Se","Selenium",0.001,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","SiO2","Silicon Dioxide; Silica (reactive) (water analysis)",20.2,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","SO4","Sulphate",24,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","TDS_CALC","Total Dissolved Solids - Calculated",1155,"mg/L"
"6738-2","MRE004",1706196,"11/07/1980","Zn","Zinc",0.001,"mg/L"
"6738-2","MRE004",97712,"15/10/1986","ALK","Alkanity as CaCO3",811,"mg/L"
"6738-2","MRE004",97712,"15/10/1986","Ca","Calcium",0.9,"mg/L"
"6738-2","MRE004",97712,"15/10/1986","CARB","Carbonate Hardness as CaCO3",4,"mg/L"
"6738-2","MRE004",97712,"1986-10-15","Cl","Chloride",208,"mg/L"
"6738-2","MRE004",97712,"15/10/1986","DST","Sodium/Total Cations Ratio",27,"%"
"6738-2","MRE004",97712,"15/10/1986","EC","Electroconductivity",2000,"us/cm"
"6738-2","MRE004",97712,"15/10/1986","HARD","Total Hardness as CaCO3",4,"mg/L"
"6738-2","MRE004",97712,"15/10/1986","HCO3","Bicarbonate",989,"mg/L"
"6738-2","MRE004",97712,"15/10/1986","K","Potassium",1.5,"mg/L"
"6738-2","MRE004",97712,"10/15/1986","Mg","Magnesium",0.5,"mg/L"
"6738-2","MRE004",97712,"15/10/1986","Na","Sodium",500,"mg/L"
"6738-2","MRE004",97712,"15/10/1986","NO3(N)","Nitrate as N",0.1,"mg/L"
"6738-2","MRE004",97712,"15/10/1986","pH","Acidity/Alkalinity",8.1,"pH"
"6738-2","MRE004",97712,"15.10.1986","RESIST","Resistivity",5,"ohm/m"
"6738-2","MRE004",97712,"15/10/1986","SO4","Sulphate",26,"mg/L"
"6738-2","MRE004",97712,"15/10/1986","TDS_CALC","Total Dissolved Solids - Calculated",1220,"mg/L"
"6738-2","MRE004",97712,"15/10/1986","TDS_EC","Total Dissolved Solids - Based on EC",1130,"mg/L"
"6741-1","KPM004",1706228,"09/11/86","Ca","Calcium",6.7,"mg/L"
"6741-1","KPM004",1706228,"09/11/1986","Cl","Chloride",236,"mg/L"
"6741-1","KPM004",1706228,"09/11/1986","CO3","Carbonate",0,"mg/L"
"6741-1","KPM004",1706228,"09/11/1986","HCO3","Bicarbonate",637,"mg/L"
"6741-1","KPM004",1706228,"09/11/1986","K","Potassium",16,"mg/L"
"6741-1","KPM004",1706228,"09/11/1986","Mg","Magnesium",2.4,"mg/L"
"6741-1","KPM004",1706228,"09/11/1986","Na","Sodium",355,"mg/L"
"6741-1","KPM004",1706228,"09/11/1986","NO3","Nitrate",0.1,"mg/L"
"6741-1","KPM004",1706228,"09/11/1986","pH","Acidity/Alkalinity",8.2,"pH"
"6741-1","KPM004",1706228,"09/11/1986","SO4","Sulphate",66,"mg/L"
"6741-1","KPM004",1706228,"09/11/1986","TDS_CALC","Total Dissolved Solids - Calculated",1070,"mg/L"
"6744-1","PNP001",1706231,"13/07/63","Ca","Calcium",3,"mg/L"
"6744-1","PNP001",1706231,"13/07/1963","CARB","Carbonate Hardness as CaCO3",11,"mg/L"
"6744-1","PNP001",1706231,"13/07/1963","Cl","Chloride",64,"mg/L"
"6744-1","PNP001",1706231,"13/07/1963","CO3","Carbonate",249,"mg/L"
"6744-1","PNP001",1706231,"13/07/1963","HARD","Total Hardness as CaCO3",11,"mg/L"
"6744-1","PNP001",1706231,"07/13/1963","Mg","Magnesium",1,"mg/L"
"6744-1","PNP001",1706231,"13/07/1963","Na","Sodium",228,"mg/L"
"6744-1","PNP001",1706231,"13/07/1963","NO3","Nitrate",0,"mg/L"
"6744-1","PNP001",1706231,"13/07/1963","NONCARB","Non-Carbonate Hardness as CaCO3",0,"mg/L"
"6744-1","PNP001",1706231,"13/07/1963","SO4","Sulphate",0,"mg/L"
"6744-1","PNP001",1706231,"23205","TDS_CALC","Total Dissolved Solids - Calculated",545,"mg/L"
"6744-1","PNP001",1706232,"07/08/1963","Ca","Calcium",0,"mg/L"
"6744-1","PNP001",1706232,"07/08/1963","Cl","Chloride",56,"mg/L"
"6744-1","PNP001",1706232,"07/08/1963","CO3","Carbonate",242,"mg/L"
"6744-1","PNP001",1706232,"07/08/1963","HARD","Total Hardness as CaCO3",0,"mg/L"
"6744-1","PNP001",1706232,"07/08/1963","Mg","Magnesium",0,"mg/L"
"6744-1","PNP001",1706232,"23230","Na","Sodium",221,"mg/L"
"6744-1","PNP001",1706232,"07/08/1963","NO3","Nitrate",0,"mg/L"
"6744-1","PNP001",1706232,"07/08/1963","SO4","Sulphate",0,"mg/L"
"6744-1","PNP001",1706232,"07/08/1963","TDS_CALC","Total Dissolved Solids - Calculated",519,"mg/L"
"6744-1","PNP001",1706233,"23/04/1964","Ca","Calcium",3,"mg/L"
"6744-1","PNP001",1706233,"23/04/1964","CARB","Carbonate Hardness as CaCO3",8,"mg/L"
"6744-1","PNP001",1706233,"23490","Cl","Chloride",64,"mg/L"
"6744-1","PNP001",1706233,"23/04/1964","CO3","Carbonate",257,"mg/L"
"6744-1","PNP001",1706233,"23/04/1964","HARD","Total Hardness as CaCO3",8,"mg/L"
"6744-1","PNP001",1706233,"23/04/1964","Mg","Magnesium",0,"mg/L"
"6744-1","PNP001",1706233,"23/04/1964","Na","Sodium",237,"mg/L"
"6744-1","PNP001",1706233,"23/04/1964","NO3","Nitrate",0,"mg/L"
"6744-1","PNP001",1706233,"23/04/1964","NONCARB","Non-Carbonate Hardness as CaCO3",0,"mg/L"
"6744-1","PNP001",1706233,"23/04/1964","SO4","Sulphate",2,"mg/L"
"6744-1","PNP001",1706233,"23/04/1964","TDS_CALC","Total Dissolved Solids - Calculated",563,"mg/L"
"6744-1","PNP001",91142,"01/05/1979","ALK","Alkanity as CaCO3",419,"mg/L"
"6744-1","PNP001",91142,"01/05/1979","Ca","Calcium",1,"mg/L"
"6744-1","PNP001",91142,"01 May 1979","CARB","Carbonate Hardness as CaCO3",2,"mg/L"
"6744-1","PNP001",91142,"01/05/1979","Cl","Chloride",56,"mg/L"
"6744-1","PNP001",91142,"01/05/1979","CO3","Carbonate",5,"mg/L"
"6744-1","PNP001",91142,"01/05/1979","EC","Electroconductivity",950,"us/cm"
"6744-1","PNP001",91142,"01/05/1979","HARD","Total Hardness as CaCO3",2,"mg/L"
"6744-1","PNP001",91142,"01/05/79","HCO3","Bicarbonate",501,"mg/L"
"6744-1","PNP001",91142,"01/05/1979","K","Potassium",6,"mg/L"
"6744-1","PNP001",91142,"01/05/1979","Mg","Magnesium",1,"mg/L"
"6744-1","PNP001",91142,"01-05-1979","Na","Sodium",222,"mg/L"
"6744-1","PNP001",91142,"01 May 1979","NO3(N)","Nitrate as N",2,"mg/L"
"6744-1","PNP001",91142,"01/05/1979","NONCARB","Non-Carbonate Hardness as CaCO3",1,"mg/L"
